Sentiment,L1 Cluster ID,L1 Cluster,L1 Phrase Count,L1 Review Count,L1 Rating (Phrase),L1 Rating (Review),L2 Cluster ID,L2 Cluster,L2 Phrase Count,L2 Review Count,L2 Rating (Phrase),L2 Rating (Review),L3 Cluster ID,L3 Cluster,L3 Phrase Count,L3 Review Count,L3 Rating (Review),L3 Rating (Phrase),L4 ID,L4 Phrases,Review ID,Review Rating,Verified Purchase,Recommended,Incentivized,Upvote,Downvote,AgeRange,SkinConcerns
Positive,P4L1I3,Emotional,230,221,4.917391304,4.918552036,P4L2I3,Sentiment,133,131,4.947368421,4.946564885,P4L3I1, very dry T-Zone quickly,27,27,5,5,P4L4I103, love this product,P4R871,5,No,Yes,No,4,1,,Acne
Positive,P4L1I4,Product,443,423,4.749435666,4.747044917,P4L2I13,Odor,60,59,4.716666667,4.711864407,P4L3I27, absorbs very well,14,14,4.714285714,4.714285714,P4L4I849, subtle normal lotion smell,P4R871,5,No,Yes,No,4,1,,Acne
Positive,P4L1I2,Performance,1025,989,4.829268293,4.826086957,P4L2I2,Skin,896,871,4.819196429,4.815154994,P4L3I1, very dry T-Zone quickly,43,41,4.926829268,4.930232558,P4L4I850, very dry T-Zone quickly,P4R600,5,No,Yes,No,1,1,,Acne
Positive,P4L1I2,Performance,1025,989,4.829268293,4.826086957,P4L2I2,Skin,896,871,4.819196429,4.815154994,P4L3I5, Very gentle,22,22,4.818181818,4.818181818,P4L4I851, Very gentle,P4R600,5,No,Yes,No,1,1,,Acne
Positive,P4L1I2,Performance,1025,989,4.829268293,4.826086957,P4L2I2,Skin,896,871,4.819196429,4.815154994,P4L3I27, absorbs very well,24,24,4.958333333,4.958333333,P4L4I111, fungal acne,P4R602,5,No,Yes,No,21,13,25-34,Dullness
Positive,P4L1I4,Product,443,423,4.749435666,4.747044917,P4L2I8,Demographic,135,133,4.874074074,4.872180451,P4L3I1, very dry T-Zone quickly,8,8,5,5,P4L4I852, Age is [35],P4R602,5,No,Yes,No,21,13,25-34,Dullness
Positive,P4L1I2,Performance,1025,989,4.829268293,4.826086957,P4L2I2,Skin,896,871,4.819196429,4.815154994,P4L3I3, calm any redness,37,36,4.916666667,4.918918919,P4L4I853, redness gone,P4R603,5,No,Yes,No,7,0,,Blackheads
Positive,P4L1I4,Product,443,423,4.749435666,4.747044917,P4L2I7,Motivation,89,87,4.382022472,4.379310345,P4L3I1, very dry T-Zone quickly,12,11,3.909090909,3.916666667,P4L4I854, Read reviews on this product,P4R603,5,No,Yes,No,7,0,,Blackheads
Positive,P4L1I3,Emotional,230,221,4.917391304,4.918552036,P4L2I10,Brand,34,30,4.764705882,4.766666667,P4L3I1, very dry T-Zone quickly,7,7,5,5,P4L4I855, Thank you First Aid Beauty!!,P4R603,5,No,Yes,No,7,0,,Blackheads
Positive,P4L1I2,Performance,1025,989,4.829268293,4.826086957,P4L2I2,Skin,896,871,4.819196429,4.815154994,P4L3I39, reduced redness,21,21,4.857142857,4.857142857,P4L4I856, SUPER dry skin,P4R613,5,No,Yes,No,3,0,,Acne
Positive,P4L1I2,Performance,1025,989,4.829268293,4.826086957,P4L2I14,Performance,84,74,4.928571429,4.932432432,P4L3I1, very dry T-Zone quickly,7,7,5,5,P4L4I857, calms my skin,P4R613,5,No,Yes,No,3,0,,Acne
